Title,Text,Section
JEE Main 2024: When should I start giving mock tests?,"— Ajay Sharma

The Joint Entrance Examination (JEE) Main is a highly competitive entrance test that opens the door to some of India’s finest engineering colleges. Mock tests are an essential part of the preparation process for the aspiring engineers who invest years of time and energy into successfully passing this test. We’ll go into the importance of mock exams in this blog and when it’s best to include them in your JEE Main preparation plan.

Understanding the purpose of mock tests:

Mock tests are like practice runs for the real deal, offering students a chance to gauge their strengths and weaknesses, fine-tune their time management skills, and get comfortable with the exam format and atmosphere. They can also help boost confidence, minimize exam stress, and sharpen problem-solving abilities. It’s clear that including mock tests in your study schedule is crucial for thorough preparation.

Early phase of preparation:

Advertisement

The journey to cracking JEE Main is a marathon, not a sprint. Beginning your mock test early in your preparation phase can provide you with important insights into your current level of understanding and identify areas that require more attention. Starting with mock tests in the early phase helps in preparing a base and understanding the exam pattern, making it easier to create a targeted study plan.

As a rule of thumb, initiating mock tests about 3 to 4 months before the actual examination can be beneficial. For example, in 2024, the first phase of JEE Main is scheduled in January, so the early phase for the same was around September to October. So those students who have already done this part or planning to do it now, have completed their early phase of preparation. This allows ample time for both self-study and targeted improvement based on your performance in the mock tests.

Mid-preparation phase:

The mid-phase of your JEE Main preparation gets increasingly important as you move forward because it’s when you may sharpen your abilities and adjust your strategies. By this point, you should have covered a significant portion of the syllabus. Incorporating mock tests into your routine during this stage helps you assess your progress, identify weak areas, and focus on refining your time management skills.

Around 2 to 3 months before the examination, consider taking full-length mock tests on a regular basis. This not only helps in building stamina for the lengthy exam but also provides a realistic preview of the actual test conditions. Analysing your performance in these mock tests will enable you to prioritize topics and allocate your study time more efficiently.

Advertisement

(The writer is the national academic director, engineering at Aakash BYJU’S)",Education
UGC to revise NET syllabus; meeting on Dec 3: Chairman,"The curriculum of the National Eligibility Test — an eligibility examination compulsory for candidates planning teaching jobs in higher educational institutions in India — will be revised, informed M Jagadesh Kumar, chairman, UGC. The revision of the syllabus has been decided in a meeting held on November 3.

UGC will form an expert committee and undertake this exercise. “Candidates will be given sufficient time before this new syllabus is introduced in UGC-NET so that the changeover happens smoothly,” informed Kumar.",Education
"Bags packed with books & dreams, 780 girls board train from Jammu for nationwide study tour","Jammu and Kashmir’s new College on Wheels rolled out of Katra railway station on Sunday with its first batch of 780 girls — all college students from different parts of the Union Territory. For many of them, it was their first train journey, and their first time venturing out of J&K.

Travelling on a special train named JK Gyanodaya Express, they reached their first stop – Delhi – on Monday. Over the next two weeks, the train will further take them to various other parts of the country, including Ahmedabad, Mumbai, and Bengaluru, with the aim of imparting hands-on knowledge about the cultural wealth and heritage of India.

College on Wheels is an initiative of the J&K Higher Education Council, and is being spearheaded by Jammu University, said JU Vice-Chancellor Umesh Rai. The students will do projects related to different subjects while on their travels. This, Rai said, would “dissolve the boundaries” of their subject of study, and also dissolve the four walls of classrooms that keep students constrained inside.

Advertisement

Read | New Era Senior Secondary School Achieves Top Honors in 2023 Education World Jury Rankings for Extraordinary Leadership

Flagging off the train at Katra on Sunday, J&K Lieutenant Governor Manoj Sinha said the initiative would open a new chapter in the education sector of the Union Territory.

The College on Wheels arrived at Delhi’s Safdarjung railway station on Monday. (Express Photo: Praveen Khanna) The College on Wheels arrived at Delhi’s Safdarjung railway station on Monday. (Express Photo: Praveen Khanna)

Among hundreds of excited students thronging the platform to board the College on Wheels at Katra railway station was Sofia Hafeez, an undergraduate student from the Government Degree College in Kashmir’s Beerwah.

“It is my first time travelling outside J&K, and also my first train journey,” she said, adding that she was excited at the opportunity to meet and interact with people from other states.

Like Sofia, Sumaira Zubeen also expressed her excitement at the prospect of visiting places outside the UT. A postgraduate student of Islamic Studies at Baba Ghulam Shah Badshah University in Rajouri, she said she was looking forward to “observing the lives, culture, food habits and attire” of people from different parts of the country.

Advertisement

The students on the train were chosen on the basis of their project proposals, said the JU V-C. In July, students were asked to submit project proposals in their colleges, out of which the shortlisted ones were chosen to be a part of the College of Wheels.

Travelling on a special train named JK Gyanodaya Express, they reached their first stop – Delhi – on Monday. Over the next two weeks, the train will further take them to various other parts of the country, including Ahmedabad, Mumbai, and Bengaluru. (Express Photo: Praveen Khanna) Travelling on a special train named JK Gyanodaya Express, they reached their first stop – Delhi – on Monday. Over the next two weeks, the train will further take them to various other parts of the country, including Ahmedabad, Mumbai, and Bengaluru. (Express Photo: Praveen Khanna)

A group of seven-eight students from multiple disciplines of study work together on one project, Rai said. Each student group will be headed by a mentor.

The projects the student groups are working on include those titled ‘From Bharat, Beyond Earth’, ‘A New Thought On An Old Subject’, ‘A Friend Who Taught Me A Language On The Train’, and even ‘Shopping On Wheels’.

Advertisement

Teams of doctors and paramedical staff of the IRTC, the UT administration and JU, as well as personnel of the J&K Police and the RPF will accompany the students.

There is a library on the train, and the students are encouraged to read at least one book during the journey. They will have access to laptops to work on their projects, and will also give presentations during the journey, Rai said.

When the train arrived at the Safdarjung railway station in Delhi on Monday, 22-year-old Shivani Sharma stepped out onto the platform feeling both nervous and excited. She had never travelled outside of J&K before.

Students arrive outside Katra railway station on Sunday ahead of their journey aboard the College on Wheels. (Express Photo: Arun Sharma) Students arrive outside Katra railway station on Sunday ahead of their journey aboard the College on Wheels. (Express Photo: Arun Sharma)

“This is only the second time I have sat inside a train in my whole life. I was very young the first time around, so I don’t remember much of that experience. This project is the first time I got an opportunity to get out of J&K,” said Shivani, who is doing a postgraduate course in JU.

Her team is working on a project on the ‘Food Culture’ in different parts of India.

Advertisement

“We have prepared questionnaires for people… In each state we visit, we will interact with people in those states and find out about what they like to eat the most, where they like to eat, and so on,” she said.

Like Shivani, 22-year-old Pawandeep Kaur is also visiting the national capital for the first time. “This is going to be a new learning experience, and I am excited to visit the Rashtrapathi Bhawan and the Parliament House,” she said.

Advertisement

Explaining her project on PCOS and breast cancer awareness, the JU student said: “We have prepared questionnaires regarding PCOS and breast cancer issues amongst women, and we will approach local girls in each state that we are going to visit. By the end of this journey, we aim to educate women on how they can take care of their lifestyle and health. We are hoping to put together a report that we aim to publish.”

In Delhi, the students will visit both the old and new buildings of Parliament, as well as the Rashtrapati Bhawan. They will then proceed to Ahmedabad, where they will visit the Sabarmati Ashram. In Mumbai, they will visit the Naval Dockyard, IIT-Mumbai and the Gateway of India. Then in Goa, they will visit the Hansa Naval Air Station, and in Bengaluru, they will visit the Indian Institute of Science and Technology, and ISRO. They will also go to Wadhra, where they will visit the Paunar Ashram and other sightseeing spots. They will then return to Delhi and finally to Jammu on December 2.

Advertisement

The J&K administration is spending around 4.75 crore on the initiative.

Vice-chairman of the J&K Higher Education Council and former V-C of Delhi University, Dinesh Singh, said train journeys had inspired Mahatma Gandhi, and hoped that this journey would do the same for these students.

“This entire journey is for these young women to inspire themselves with Gandhi’s philosophy, and to discover themselves on this train like Gandhi did. Education is not just bound to a classroom with a blackboard. It is so much more than that,” he said.

“There will be two charkhas on board and there will be a competition, the girls who spin the charkhas the fastest will be rewarded with a book,” he said.",Education
Indian Gen Z spends 73% more time learning than other generations: LinkedIn,"The report also shows that developments in Generative AI offers an opportunity to break down barriers across cultures, geographies and industries. (Representative image. Reuters)

The global AI conversations shot up by 70 per cent from December 2022 to September 2023, while applications to AI and AI-related job postings increased by 11 per cent globally and 5.6 per cent in India. The data was revealed by LinkedIn’s ‘Future of Work: State of AI @ Work’ report.

Experts believe that AI’s growing importance has led to a greater adoption of the technology at work, resulting in an increased need for AI talent. Industries in India that are seeing the greatest demand for individuals with AI skills include Professional Services, Technology, Information and Media, and Financial Services.",Education
JEE Advanced: Check IIT Bhilai’s rankings since 2019,"JEE Advanced 2024: The Indian Institute of Technology (IIT) Bhilai is one of the 23 IITs in India and was established in 2016. The institute, for the first time, has been placed in the top 100 in the Education Ministry’s National Institutional Ranking Framework in the engineering category.

IIT Bhilai did not get a spot in the Times Higher Education (THE) rankings in 2024 and QS World University Rankings in 2024.",Education
"Tamil Nadu TNDGE Class 10th, 12th half-yearly exam dates released","The Tamil Nadu Directorate of Government Examinations (TN DGE) has announced the Class 6 to Class 12 half-yearly exam dates for the 2024 session. The Tamil Nadu Class 11 and Class 12 half-yearly exams will begin on December 7, 2023 and will continue till December 22 and the TNDGE Class 6 to Class 10 half yearly exams will be held between December 11 and 21.

The Directorate will conduct the Class 11 exams from 9:45 am to 12:45 pm and Class 12 exams between 1:30 to 4:30 pm. The students will be given 10 minutes of reading time before the start of the exams.",Education
"BHU registers increase in enrollment of foreign students, highest from Nepal","BHU International Enrolments: The highest number of highest number of new entrants is from Nepal followed by Bangladesh and Sri Lanka (Image Credit: BHU)

The Banaras Hindu University (BHU) has registered a total of 312 international students from 30 countries for the academic session 2023-24. With this, the number of international students currently enrolled in the university has reached an all-time high of 734 from 49 countries. This is also the first time, international enrollments have crossed the 300 mark.

Of the new 312 admissions in the 2023-24 session, as many as 172 students have enrolled in undergraduate programmes, 112 for postgraduate programmes, while 16 students are enrolled in PhD and 12 students have taken admission to the certificate or diploma courses.",Education
"Organise events and celebrate Constitution Day on Nov 26: UGC to colleges, universities","The University Grants Commission (UGC) has asked the higher educational institutions to make the students aware of Constitution Day 2023 and encourage them to participate in the events arranged as part of it. Constitution Day or Samvidhan Divas is celebrated in India on November 26 every year to commemorate the adoption of the Constitution of India.

An important part of the celebration is reading the Preamble to the Constitution and reaffirming the commitment to uphold its ideology, UGC added saying that a provision has also been made on the MyGov portal to ‘Read the Preamble’ online and download a certificate.

UGC has suggested that colleges and universities organise other activities including talks and webinars on Constitutional values and fundamentals of the Indian Constitution.

The Commission has asked the higher educational institutions to upload the activities conducted along with photos and videos on the University Activity Monitoring Portal (UAMP) at uamp.ugc.ac.in.",Education
"MoE, IIT Kanpur’s SATHEE begin outreach to transform KVs, NVs, CBSE schools exam preparation","The Ministry of Education and IIT Kanpur on November 21 announced the successful outreach of SATHEE (Self-Assessment Test and Help for Entrance Exams), an online education platform to empower the millions of students preparing for competitive exams across the country.

This platform was unveiled by K Sanjay Murthy, Secretary, Department of Higher Education, Ministry of Education, in an event at Shastri Bhawan in presence of other invited dignitaries Professor S. Ganesh, Officiating Director, Indian Institute of Technology, Kanpur; Govind Jaiswal, Joint Secretary, Higher Education, Ministry of Education; Sanjay Kumar, Hon’ble Secretary, School Education, Ministry of Education, Professor Amey Karkare, Principal Investigator, SATHEE Project, IIT Kanpur.",Education
CLAT 2024 admit card out at consortiumofnlus.ac.in; exam on Dec 3,"CLAT 2024 admit card out at consortiumofnlus.ac.in; exam on Dec 3

CLAT 2024 admit card out at consortiumofnlus.ac.in; exam on Dec 3

CLAT 2024: The Consortium of National Law Universities (NLUS) today issued the Common Law Admission Test (CLAT) admit card. Registered students can download their admit card from the official website – consortiumofnlus.ac.in.

As per the official schedule, the CLAT 2024 exam is scheduled to be conducted on December 3. The CLAT UG 2024 and CLAT PG 2024 will be held for 120 questions. Candidates will have two hours to complete the test.",Education
