Title,Text,Section
"Team India’s backroom staff includes a former maths teacher, a mountaineer, a former bus driver, an IT engineer, and a civic police volunteer","Paras Mhambrey

Bowling coach

A modern-day coach

The 51-year-old has been head coach Rahul Dravid’s trusted lieutenant since their India U-19 and India A team days. Having served as the head coach of Maharashtra, Bengal and Vidarbha he has also been with the National Cricket Academy. The pace pack loves the freedom he gives. Was originally brought into the fold to help with the transition phase the attack was going through in Tests and T20Is.

Having implemented the workload management policy at the NCA, Dravid has been using this expertise in the lead-up to the World Cup. With a young crop of pacers – who he is familiar with thanks to his stint with U-19 and India A – Mhambrey is also putting the transition plan in place in red-ball cricket and T20Is. He doesn’t believe in spending too much time in team meetings, and instead likes to slip in all the data and analytics through the dashboard, which is on every player’s phone. In that sense, he is every bit a modern-day coach, who prefers to mix data with coaching manuals. Like his predecessor Bharat Arun, he has carried forward the five-bowlers theory at all costs.

Advertisement

In the lead-up to the World Cup with star pacer Jasprit Bumrah injured, instead of grooming the likes of Arshdeep Singh, Shivam Mavi, Avesh Khan, it was Mhambrey who advocated Mohammed Shami’s inclusion, despite the seamer having played very few ODIs in the recent past.

Vikram Rathour

Batting coach

The schedule-maker

Photo: PTI Photo: PTI

The only coaching staff to be associated with this team since Ravi Shastri & his men left the space. From the time he came on board after the previous World Cup, he has been harping about the need to be a lot more aggressive with the bat. And it is only at this World Cup that the world got to see the true potential and might of India’s line-up.

Not the most gifted batsman during his playing days, after hanging up his boots, Rathour spent a few years in England before returning to coach Punjab and Himachal on the domestic circuit. He was also a national selector when Virat Kohli was captain. The 54-year-old is at the forefront of India’s training sessions, where he usually makes the schedule. A firm believer in giving batsmen freedom to go for shots irrespective of the format, Rathour has publicly backed the likes of Rohit Sharma, Rishabh Pant and Shreyas Iyer when they have been dismissed going for the big shots in Tests.

Advertisement

Behind the scenes, he prefers to have one-on-one sessions with batsmen on almost a series-by-series basis. Not known to tinker much with their technique, but also the first to jump in and have a say at the nets if he sees something missing. To make it easier for the players, he instructs the team’s data analyst to video-record their net sessions and play it later on. He is known to seldom show his emotions and was even tipped to take a top role at the NCA.

Also Read | Why the ICC Men’s Cricket World Cup format we saw in 2023 is not good for the game

T Dilip

Fielding coach

Former math teacher

One who got extremely popular during the World Cup for introducing the ‘best fielder’s medal’ in the Indian dressing room, Dilip doesn’t have any cricketing background. With just tennis-ball cricket behind him, coaching became his calling from a young age. First up, he worked in age-group academies in Hyderabad before he got a chance to work with Deccan Chargers in the IPL. At the now- defunct franchise, he would get a chance to be with renowned baseball coach Mike Young, who coached Australia in the past. And from there on, his graph kept moving upward.

Advertisement

With no playing experience, Dilip would then enrol for a coaching programme at the NCA, where he would work with former India fielding coach R Sridhar. This was a period when he used to take maths tuitions to fund his coaching education and once he cleared the exams, became a regular face at the NCA. During the off-season, Dilip was a regular presence at the NCA zonal and annual camps, during which time he caught Dravid’s eye. Though Dravid had mostly worked with Abhay Sharma as the fielding coach during his stints with five Under-19 and A teams, the former India captain handpicked Dilip for the national team. With the Indian team, apart from maintaining the fielding standards set by Sridhar, his biggest contribution is how he has turned KL Rahul into a thorough wicketkeeper. With unique coaching gear, he has been spending hours together to get Rahul’s positioning right.

Strength and conditioning

Soham Desai

An avid mountaineer

He started his foray in cricket with the Gujarat Ranji side between 2014-16. He spent a good part of 18 months working with a private fitness studio where he trained some popular personalities in Chennai under the guidance of Shankar Basu, the former S&C coach, who was instrumental in improving fitness standards. From there, as the NCA revamped its S&C programme, Desai was at the forefront of it, spending four years at the academy before being promoted as assistant at the Indian team during the Covid years. Once Nick Webb vacated the seat, Desai, who’s an avid mountaineer, became the lead S&C coach after the 2021 T20 World Cup.

S Rajnikanth

Rehab master

A very popular figure, he is the one players turned to when they are undergoing rehab. Even when he was not associated with the NCA, injured players like Jasprit Bumrah, Hardik Pandya and Shreyas Iyer have sought him out to regain full fitness. Having been part of Delhi Capitals and Gujarat Titans set- up in the past, Rajnikanth joined NCA recently, where he monitored the rehab programme of Bumrah, KL Rahul, Shreyas and Prasidh Krishna. Thanks to his relaxed training programme, he ensured everyone regained full fitness and with the World Cup in mind, the Indian team brought him on board to specially oversee these four players.

Hari Prasad Mohan

Video and data analyst

Team’s eagle eye

Advertisement

A left-arm pacer, who gave up professional cricket to pursue a degree in engineering. Soon after completing bachelor’s degree in Information and technology, during which time he captained his college team, Hari joined Sportsmechanics which has been associated with the Indian team since 2000. Part of the backroom staff, he spent several hours studying footage before being part of the Tamil Nadu Ranji team. His biggest breakthrough came when CKM Dhananjay stepped aside as the Indian team analyst post the 2019 World Cup, and Hari stepped into his shoes. One can always spot him sitting with his laptop next to India’s coaching staff. He is the team’s eagle eye, who feeds the players the weakness and strengths of their opponents. Meticulous in detailing, he is a data man out and out.

Rishikesh Upadhyaya

Logistics Manager

DJ-in-chief

Advertisement

He has been Team India’s logistics manager for the past eight years. He was appointed by former BCCI president Anurag Thakur in 2015. Upadhyaya is a school friend of the former BCCI president and current Sports Minister of India. He also hails from Himachal Pradesh. From travel tickets, match tickets, equipment, the uniform of the team, to taking care of the cricketers’ family, Upadhyaya ensures everything is in place. He is also the go-to person for the cricketers’ wives and children on tour. It is his responsibility that the families of the players are taken care of. This is Upadhyaya’s second stint with the team. He is also the go-to-man when players need some loud music to play in the dressing room, with his Punjabi collections being extremely popular among players.

Masseurs

Arun Kanade

Relieving aches

Mumbai’s Arun Kanade has been part of the Indian cricket team for more than eight years now. He also had a stint with IPL side Royal Challengers Bangalore (RCB). Kanade shares a great rapport with Team India captain Rohit Sharma and Virat Kohli, and other senior players. His main task is to ensure players’, especially bowlers’, muscles are relaxed before every game. Kanade had replaced the hugely popular Ramesh Mane, who was fondly addressed as ‘Mane Kaka’,

and worked with the Indian team for close to a decade.

Rajeev Kumar

Muscle Dr

Advertisement

Rajeev Kumar too is one of those support staff players contact immediately after the day’s play or during the innings break. Like Ranade, Kumar’s work starts after the match, when the players need to loosen up their muscles. Kumar shares a very good rapport with Team India’s pacers. Kumar, became popular on social media after Mohammed Shami shared a picture on Twitter celebrating his birthday alongside Ishant Sharma and Kumar in 2019. Kumar celebrates his birthday on September 1, followed by Ishant’s on September 2, and Shami’s on September 3.

Media team



Anand Subramaniam

Avid tennis fan

With 10-plus years of experience in the field, he is part of the team that brings out all the social media content and interviews from the dressing room. This is apart from issuing press releases and updates about everything that goes in the dressing room and conducting press conferences. An avid tennis fan, Anand & his team also produce content for BCCI’s social media.

Moulin Parikh

Once a sports journo

A former journalist, Moulin has been associated with the BCCI media team for the last six years now. A common face in India’s touring party, he is responsible for arranging press conferences and also links up with host broadcaster for bytes during innings break. At this World Cup he has also been doubling up as venue media in-charge overseeing the media interactions across all stadiums.

Dr Rizwan Khan

Sports medicine expert

Olympic Games on CV

Another one with an impressive CV, having been part of the Delhi Capitals and Gujrat Titans. A sports medicine expert, he was associated with the UAE team at the London Olympics before he turned his attention towards setting up his own sports clinic in Mumbai. Has also worked with leading hospitals in Mumbai and London. Joined the team post IPL 2023.

Amit Siddeshwar

Liaison officer

From food to stay

Part of the BCCI’s operations team for 15 years now, it is Amit’s job to ensure that from practice facilities to food to hotel stay, everything is in order. In the past, he has been instrumental in setting up IPL fan parks across the country and at the World Cup, he ensured that everything the players need is available to them.

Physios

Kamlesh Jain

Meeting Cup deadline

A key personnel for keeping the players in shape. Before joining the Indian team, Jain spent 10 years with Kolkata Knight Riders, with the last three as their lead physio. Played instrumental role in the return of injured players for the World Cup.



Yogesh Parmar

Keeps tab on workload

A familiar face in the team thanks to his long stints at the NCA, where he was associated with the India U-19 and A teams. Before joining the NCA, Parmar had stints with Essex as well as the Mumbai Indians. He is the go-to person if there are any fitness-related issues with the bowlers. Works in tandem with the bowling coach and keeps tab on workload.

Security & Integrity

Always on their toes

It is the role of Vipul Yadav (L) and Dinesh Chahal to ensure that no unwanted person, including bookies, comes in contact with the players or support staff. In case, a player wants to step out, he has to inform one of them.

Throwdown specialists

Raghavindraa Dvgi

Kohli gives him credit

Aka Raghu, he is the senior-most among India’s three training assistants. Hailing from Kumta taluk in Uttara Kannada district, Raghu first became part of the Indian support staff back in 2011 during the tour of Australia. Endorsed by the likes of Sachin Tendulkar and Rahul Dravid, he had also attended the fabled Ramakant Achrekar summer camps for a couple of years. Such was his tenacity to play the sport that Raghu once even took shelter in a Hubli graveyard when he didn’t have a place to stay. His impact as a throwdown specialist can be gauged from what former skipper Virat Kohli once said, “I believe the improvement this team has shown while playing fast bowling since 2013 has been because of Raghu.”

Nuwan Seneviratne

Ex-school bus driver

From Colombo, he is a former first-class cricketer who was part of the Sri Lankan set-up before he joined the Indian support staff in 2017. Unable to make more than two appearances on the domestic circuit back home, there was a time when Seneviratne earned his livelihood as a school bus driver. Cut to 2023, and he’s one of the key reasons behind India’s top order chiselling their skills against left-arm quicks. Was brought on board after India’s struggles against left-arm seamers seemed never-ending.

Dayananda Garani

Civic Police volunteer

Son of a farmer hailing from Jamtiya Village in West Bengal, he first joined the Indian set-up as a throwdown expert-cum-masseur for the Australia tour in 2020/21. A former club cricket medium pacer, who also manned Kolkata streets as a Civic Police Volunteer. Garani was part of IPL franchise Punjab Kings as their

throwdown specialist.",Sports
Afghanistan to tour India for three-T20I series in January ahead of England Test series,"“India, we are coming again!”

Afghanistan Cricket Board would let know via their social media. Having impressed with their takedown of former World Cup champions in England, Pakistan and Sri Lanka, Afghanistan will visit the country in January for a three-match T20I series.

The first of the three games shall be played on January 11, 14 and 17. The series will be sandwiched between the India’s tour of South Africa – three T20Is, as many ODIs and two Tests – and the five-Test series against England at home starting early February.

Advertisement

It’ll be a first-ever three-match T20I series between the two nations. The two teams have played five T20Is against each other so far, with India having won four of them while their last contest – a gold medal match at Asian Games in Hangzhou – ended with no result. India however, were deemed winners being the higher seeded team going into the final.

At the 2023 ODI World Cup, the Rohit Sharma-led side emerged victorious against Hashmatullah Shahidi and Co by eight wickets with the Indian skipper scoring a record-seventh ton in the competition.

Afghanistan also have a Test match appearance under their belt in India, dating back to June 2018 – a game India won by an innings and 262 runs.",Sports
Coach Igor Stimac’s moves backfire as 0-3 defeat in World Cup qualifier to Qatar ends India’s 15-game unbeaten run at home,"It was hard to decipher India’s strategy against defending Asian champions Qatar at the Kalinga Stadium in Bhubaneswar on Tuesday. It was understandable that they wanted to defend against a team ranked 61st in the world, 41 places higher than them.

But in a vital FIFA World Cup 2026 qualifier, India coach Igor Stimac decided to bench goalkeeper Gurpreet Singh Sandhu, undoubtedly the best player the last two times India faced the 2022 World Cup hosts. Not just that, the Croatian made four changes among the outfield players from the team that stunned Kuwait 1-0 in the opening game of the campaign.

The result of those changes was that India lacked coordination, especially when defending. And they were made to pay the price by their much taller, stronger, and in-sync opponents. The final scoreline read 0-3 but Stimac would know that the score could’ve been much more humiliating had Qatar converted even half of the chances they created.

Advertisement

This was more than just a World Cup qualifier for India. It was also their toughest preparatory game ahead of the AFC Asian Cup in January, where similar or tougher tests await them. It was a chance for Stimac to show that India has attacking flair and a solid defence. But with Amrinder Singh replacing Gurpreet, the defence led by Sandesh Jhingan looked shaky from the start. Amrinder looked overawed by the occasion and responsibility. He had a nightmarish game with the ball at his feet, giving it away three times in the first half itself.

Qatar were coming from a 8-1 thrashing over Afghanistan. Coached by Carlos Queiroz, who has managed the likes of Iran, Portugal and Real Madrid, they almost took the lead in the second minute when a misplaced pass from Amrinder allowed their star striker Almoez Ali to walk into the Indian box and square it to Akram Afif.

Just about four yards in front of goal, Afif fluffed his chance to send it wide much to the relief of the packed Kalinga Stadium, which had former Arsenal manager Arsene Wenger in attendance.

**EDS: IMAGE VIA @IndianFootball** Bhubaneswar: India’s Sunil Chhetri during the 2026 FIFA World Cup qualifiers match against Qatar, at Kalinga Stadium, in Bhubaneswar, Tuesday, Nov. 21, 2023. (PTI Photo)(PTI11_21_2023_000301B) **EDS: IMAGE VIA @IndianFootball** Bhubaneswar: India’s Sunil Chhetri during the 2026 FIFA World Cup qualifiers match against Qatar, at Kalinga Stadium, in Bhubaneswar, Tuesday, Nov. 21, 2023. (PTI Photo)(PTI11_21_2023_000301B)

It didn’t take long for Qatar to redeem themselves, courtesy of some chaotic defending by India. Just two minutes later, India managed to head Afif’s corner out of the box, only for a Qatari player to send it back in. The ball pinballed in the Indian box and Udanta Singh’s failed clearance was met by the quick Mostafa Meshaal, who sent into the bottom corner.

Advertisement

An early goal seemed to ease the pressure of the away match and Qatar kept displaying their attacking flair and prowess, launching attack after attack, with the Indian defence just about managing to hold out.

Changes don’t work

In the defensive set-up, Stimac brought in Anirudh Thapa for Sahal Abdul Samad, and at left-back, he replaced Ashish Mishra with Subhasish Bose. Benching the in-form Mahesh Singh and starting with Udanta Singh was also a risk that didn’t pay off as India didn’t look threatening on counters.

It was only after the half-hour mark that India started showing glimpses of what they are capable of. Probably their best move of the match came in the 35th minute when Thapa and Udanta played a series of one-twos to enter the Qatar box before Thapa pulled it back for Apuia Ralte waiting at the top of the area. The Mumbai City FC playmaker, who was easily India’s best player in the match, skied his shot into the stands.

Advertisement

However, that attack gave India belief that they too could penetrate the Qatar defence, which leaked four goals against Iran in their last friendly.

Thapa had India’s best opportunity of the match in the 42nd minute when Sunil Chhetri’s persistence helped him rob a Qatari defender and play the ball to Thapa.

With just the goalkeeper to beat, Thapa tried to be cheeky and poke the ball from the edge of the box, but it was well wide of the target.

Qatar doubled their lead in the first minute of the second half, as Almoez got on the scoresheet. Boualem Khouki sold Lallianzuala Chhangte a dummy and floated a lovely ball out to Afif waiting in the box. Afif smashed it at goal and Amrinder could only palm it under his body but Almoez, Qatar’s record goalscorer who scored four against Afghanistan, slid in to take his tally to 80 for his country.

Stimac made two changes early in the second half, bringing in Mahesh in place of Udanta at the start and getting Sahal in place of Thapa a little later. It was then that India started combining well and looked threatening. Sahal had a good chance in the 65th minute, finding himself in acres of space inside the box after a brilliant through ball by Suresh Singh, but he dragged his left-footed shot wide, probably not realising how much time he actually had.

Qatar put the game to bed in the 85th minute with substitute Yusuf Abdurisag scoring with the simplest of headers at the near post, and just like that, India’s

15-game unbeaten run at home was broken.

Advertisement

While they were certainly outplayed, they did show that it was possible to create chances against Asia’s best. They, however, need to find a striker capable of making a nuisance of himself against tough defences, for as it stands, Stimac’s men are yet to register a shot on target in more than 270 minutes (three matches) against Qatar.",Sports
‘There is a lump in my throat and fire in my heart’: Gautam Gambhir returns to KKR as team mentor,"Gautam Gambhir, who led Kolkata Knight Riders (KKR) to Indian Premier League (IPL) title twice has returned as team mentor of the franchise and will work with head coach Chandrakant Pandit.

It was under Gambhir, KKR became the IPL champions in 2012 and 2014. In 2012 final they have defeated Chennai Super Kings in the final and in 2014, they won the final against Kings XI Punjab (now Punjab Kings). Under Gambhir’s captaincy, KKR has qualified for the palyoffs five times and had reached the final of the Champions League T20 in 2014.

Gambhir in a statement released by the KKR has said that he is hungry to win more with the franchise.

“I am not an emotional person and not many things move me. But this is

different. This is back to where it all started,” Gambhir said in a statement.

Advertisement

“Today, there is a lump in my throat and fire in my heart as I think about slipping into that purple and gold jersey once again.

“I am not only coming back to KKR but I am coming back to the city of joy. I am back. I am hungry. I am number 23.”

KKR’s team owner Shah Rukh Khan, too has showered praise on Gambhir.

“Gautam has always been part of the family and this is our Captain coming back home in a different avatar as a ‘mentor’.

“He was sorely missed and now we all look forward to Chandu Sir and Gautam in instilling the never-say-die spirit and of sportsmanship they stand for, in creating magic with Team KKR,” he said.

For the past couple of season, Gambhir was working as a mentor for the Lucknow Super Giants (LSG). The former India opener has penned a heartfelt note for the LSG fans.

Advertisement

“I am filled with love and immense gratitude towards all the players, coaches, support staff and every individual who has made this journey memorable,” he posted on X.

“I am sure that the team will do wonders in the future and will make every LSG fan proude.”",Sports
‘There is a lump in my throat and fire in my heart’: Gautam Gambhir returns to KKR as team mentor,"Gautam Gambhir, who led Kolkata Knight Riders (KKR) to Indian Premier League (IPL) title twice has returned as team mentor of the franchise and will work with head coach Chandrakant Pandit.

It was under Gambhir, KKR became the IPL champions in 2012 and 2014. In 2012 final they have defeated Chennai Super Kings in the final and in 2014, they won the final against Kings XI Punjab (now Punjab Kings). Under Gambhir’s captaincy, KKR has qualified for the palyoffs five times and had reached the final of the Champions League T20 in 2014.

Gambhir in a statement released by the KKR has said that he is hungry to win more with the franchise.

“I am not an emotional person and not many things move me. But this is

different. This is back to where it all started,” Gambhir said in a statement.

Advertisement

“Today, there is a lump in my throat and fire in my heart as I think about slipping into that purple and gold jersey once again.

“I am not only coming back to KKR but I am coming back to the city of joy. I am back. I am hungry. I am number 23.”

KKR’s team owner Shah Rukh Khan, too has showered praise on Gambhir.

“Gautam has always been part of the family and this is our Captain coming back home in a different avatar as a ‘mentor’.

“He was sorely missed and now we all look forward to Chandu Sir and Gautam in instilling the never-say-die spirit and of sportsmanship they stand for, in creating magic with Team KKR,” he said.

For the past couple of season, Gambhir was working as a mentor for the Lucknow Super Giants (LSG). The former India opener has penned a heartfelt note for the LSG fans.

Advertisement

“I am filled with love and immense gratitude towards all the players, coaches, support staff and every individual who has made this journey memorable,” he posted on X.

“I am sure that the team will do wonders in the future and will make every LSG fan proude.”",Sports
Fifties from Rohit Sharma and Shreyas Iyer guide India to 7-wicket win against Pakistan,"6 / 8

Virat Kohli seen with Shadab Khan after India's victory during the ICC Men's cricket World Cup match between India and Pakistan at Narendra Modi stadium in Ahmedabad on Saturday. Express photo by Nirmal Harindran, 14-10-2023, Ahmedabad",Sports
Pakistan names Wahab Riaz as head of national selection committee; Sohail Tanvir to head junior selection panel,"The overhaul in Pakistan cricket’s top echelons continues after the team’s ouster from the ongoing Cricket World Cup after a fifth-place finish in the group stage.

Just two days after former Test captain Mohammad Hafeez was entrusted the role of Team Director for the Pakistan men’s cricket team and Shan Masood and Shaheen Shah Afridi took over the reins of the national team from Babar Azam, the Pakistan Cricket Board picked two former Pakistan pacers to lead two crucial selection committees.

While former left-arm fast bowler Wahab Riaz was appointed as the chief selector of the national men’s selection committee, Sohail Tanvir was named as the head of the junior selection committee.

Advertisement

Riaz’s first assignment will be the selection of the national men’s squad for the three-match Test series against Australia from December 14 to January 7 in Australia and the five-match T20I series against New Zealand from January 12 to 21 in New Zealand. Riaz picked up 237 wickets and scored 1200 runs across the three formats after making his debut for Pakistan in 2008. He represented Pakistan in 27 Tests, 91 ODIs and 36 T20Is.

A PCB press release making the announcement quoted Riaz — who is Pakistan’s second-most successful bowler in World Cups, registering 35 wickets across three editions of the marquee event — as saying: “Heading a selection committee is a challenging task. We have a significant Australia tour coming up that is part of the ICC World Test Championship 2023-25 cycle and a T20I series against New Zealand that will allow us to develop a formidable unit leading up to the ICC T20 World Cup in the USA and West Indies in June next year.

“I have a good rapport with the Pakistan Men’s Team Director Mohammad Hafeez and we will be working closely for the success of Pakistan cricket. My primary goal would be to give weightage to the top performers in domestic cricket and announce well-rounded squads equipped with the necessary skillsets. I will always be available to the players for feedback and advice.”

Meanwhile, Tanvir’s first assignment as chairperson of the junior selection committee will be the selection of the Pakistan U19 squad for the 2023 ACC U19 Asia Cup scheduled to be held between 8 and 17 December in UAE. Pakistan U19 will later take part in the ICC U19 World Cup from 13 January to 4 February in Sri Lanka.

Advertisement

Tanvir made his international debut in 2007 and made two Test, 62 ODI and 57 T20I appearances for Pakistan. He picked up 130 wickets and scored 612 runs across the three formats.",Sports
Suryakumar Yadav likely to captain India in T20Is against Australia,"SURYAKUMAR Yadav is likely to lead the Indian team in the five-match T20I series against Australia with Hardik Pandya ruled out because of an injury he sustained during the World Cup. The series will begin on November 23 in Vizag and finish at Hyderabad on December 3.

The BCCI’s senior national selection committee is set to meet soon to pick the squad and given the series is coming close on the heels of the World Cup, a second-string team will be picked.

World no 1 batsman in T20 format, Yadav was appointed as the vice-captain of the T20 side during India’s tour of West Indies, where they played five matches in the Caribbean and US. With Pandya yet to recover from the ankle injury he suffered during the World Cup and a doubtful starter, the selecting committee headed by Ajit Agarkar is likely to elevate Yadav to the captaincy.

Advertisement

Follow all the action from the Cricket World Cup 2023 on our special World Cup section. You can also find the latest stats, like the top scorer and the highest wicket-taker of the current edition, upcoming World Cup fixtures and the points table on the site.

The 33-year-old Yadav has earlier led the Mumbai team and also India Under-23 team in the Emerging Cup a few years ago. His 360 style of play has gained him immense popularity and in a short time, Yadav has become the most lethal batsman in the world in the format.

The Indian Express understands that the selection committee will give rest to the majority of players who are part of the ongoing World Cup team. Players like Ishan Kishen and Prasidh Krishna, who didn’t get much of the World Cup game will be asked to play home series against Australia.

With Rahul Dravid’s contract coming to an end after the World Cup, the BCCI have asked VVS Laxman to coach the Indian team for a stop gap arrangement and the support staff of National Cricket Academy (NCA) will be asked to look after the team.

Advertisement

Reason for Yadav’s appointment is after the selection committee came to know that Pandya will take at least two months to recover fully from his ankle injury.

He is likely to miss three T20I and three ODI’s games against South Africa too.

It’s not clear whether Pandya needs surgery or not.",Sports
‘Sometimes it’s nice to see ball dominate bat’: Mitchell Starc after Australia beat South Africa at Eden Gardens,"Mitchell Starc and Josh Hazlewood were the wreckers in chief for Australia after the Kangaroos bowled excellently in overcast conditions and reduced South Africa to 24/4 after Protea captain Bavuma won the toss and elected to bat.

However, David Miller’s rescue act took the South Africans to a respectable score of 212 but it was not enough as Pat Cummins made sure his team didn’t let the opportunity slip away in a low-scoring run-chase against South Africa in the semifinals on Thursday.

The captain had to bail out his team with the bat as he and Mitchell Starc got the Aussies home by three wickets in pursuit of a 213-run target.

Advertisement

After the match, the Aussie seamer spoke at length about the low-scoring thriller and the pitch at Eden Gardens.

” I think it was a tricky wicket throughout and I guess different phases of pressure for both teams throughout the game. So, yeah, I was pretty calm. I think Pat was pretty calm as well. And whilst it was pretty close, we had plenty of time. So, nice to squeeze past and make to a final,” Starc said while speaking at the post-match press conference.

However, Starc was a bit surprised at the nature of the surface and said, “Yeah, I’m certainly not going to say I’m one to read pitches and know what they do. I mean, training here the last few days, the practice wicket certainly turned a lot. From all reports, I think the wicket we played on has been used a few times so no surprise that it did turn. It is probably a little surprising that it did seam around a little bit whilst I said before it was pretty inconsistent pace wise, I think average first inning scores here have been sort of around 300 mark or a little bit higher. So yeah, a little bit surprising but you know sometimes it’s nice to see ball dominate bat.”

On a personal front with the ball, Starc, who picked 3/34, expressed happiness with his spell and said, “Yeah, that’s probably not been the tournament I would have liked from the get go but nice to step up in a big game. And I think our power play was probably what got us on our way. And there were other key moments through the day with bat and ball, but to start the game like that with Joshie [Hazelwood] and I, power play wickets have probably been not our strong suit through the tournament so it’s nice to have a power play of what two for 18 or something like that so the way Josh bowled throughout to finish two for 12 was incredible, and then Trav with bat and ball. I think a lot of guys in the field as well, the way Davey stepped up in the field and led by example. You could probably name everyone at different circumstances through the day to really step up in a big game.”",Sports
"Hardik Pandya, injured during World Cup, set to miss series against Australia, South Africa","All rounder Hardik Pandya will be out for at least another two months because of the ankle injury sustained when he tried to stop a ball off his own bowling in the World Cup league game against Bangladesh.

The Indian Express understands that Pandya will miss the upcoming T20I series at home against Australia and is also likely to miss three T20Is and three ODIs in South Africa.

The Baroda all-rounder lost his balance while trying to stop a shot from Bangladesh opener Liton Das and dragged his right boot while landing on the pitch. He got up and looked in discomfort as he stood on his haunches. Pandya was later rushed to the National Cricket Academy for rehabilitation and then ruled out from the ongoing World Cup.

Advertisement

The medical team is yet to take a call if Pandya needs a surgery.

Two weeks ago, Pandya was asked to bowl in the nets with strength and conditioning coaches advising him to increase speed slowly. The support staff didn’t want him to put too much pressure on his ankle. It is learnt that Pandya didn’t face any problem in the first three balls he bowled. He decided to increase the intensity of his bowling for the next delivery. It was during the fourth ball that he felt a bit of pain in his leg.

Pandya informed the support staff about the pain he felt on his right ankle. The NCA medical team decided to get another round of scans done.

Pandya had penned down a heartfelt message on the X: “Tough to digest the fact that I will miss out on the remaining part of the World Cup. I’ll be with the team, in spirit, cheering them on every ball of every game. Thanks for all the wishes, the love, and the support has been incredible. This team is special and I’m sure we’ll make everyone proud. Love, always, HP”.

Advertisement

The tournament’s Event Technical Committee had approved seamer Prasidh Krishna as Pandya’s replacement. The 27-year-old, Krishna, who has made a comeback after a long injury layoff, has played 17 ODIs for India and has bagged 29 wickets.",Sports
